Time;Time2;Force;CoM vertical velocity;VL;SOL;VL_Smoothed Y1;SOL_Smoothed Y2;CoM vertical position;CoM vertical position2;_1;_2
s;%;N;ms-1;V;V;;;cm;mm;;
;"Normalize to [0-100] of ""Time""";;"Divided by 71.82825 on ""CoM velocity""";;;"50 pts SG smooth of ""VL""";"50 pts SG smooth of ""SOL""";Integrate of CoM velocity x=(0100) Area = 9.93124;"Multiply 10 on ""Integrated Y1""";;
2.875;78.0571428571428;677.324885;0.989002699292062;0.737305;0.0219727;5,76327E+14;0.0811518535837731;-33.1317798781476;-331.317798781476;;
2.876;78.1714285714285;678.224885;0.998438748503843;0.938416;0.0178528;5,73885E+13;0.08227044659947;-33.0182117954164;-330.182117954164;;
2.877;78.2857142857142;678.784885;1.00788496084807;0.873871;0.00640869;5,64953E+14;0.0823892946213957;-32.9035647263106;-329.035647263106;;
2.878;78.4;679.414885;1.01733945684135;0.631409;0.00778198;5,57388E+14;0.0853975436034791;-32.7878376167283;-327.878376167283;;
2.879;78.5142857142857;680.974885;1.02680919753329;0.173798;0.0611877;5,41257E+14;0.087655441393916;-32.6710291221926;-326.710291221926;;
2.88;78.6285714285714;682.314885;1.03629912526913;0.670166;0.0920105;5,22443E+14;0.0840554754816644;-32.5531372180325;-325.531372180325;;
2.881;78.7428571428571;682.954885;1.04580283588322;0.276337;0.00808716;5,02023E+14;0.0805811746836848;-32.4341599631095;-324.341599631095;;
2.882;78.8571428571429;683.834885;1.05531712729274;0.201111;0.0588989;4,87672E+14;0.0762368677786586;-32.3140959652137;-323.140959652137;;
2.883;78.9714285714286;685.464885;1.0648488909368;0.446472;0.0193787;4,79795E+13;0.071418032265963;-32.1929436213149;-321.929436213149;;
2.884;79.0857142857143;687.584885;1.07440675851694;0.167999;0.157776;4,72851E+14;0.0695316536537633;-32.0707004413461;-320.707004413461;;
2.885;79.2;688.904885;1.08398857210777;0.329285;0.236816;4,72787E+14;0.0778631378017622;-31.9473635653104;-319.473635653104;;
2.886;79.3142857142857;690.054885;1.09358757949116;0.420227;0.312195;4,63871E+14;0.0838938881460509;-31.8229306423619;-318.229306423619;;
2.887;79.4285714285714;692.554885;1.10321199470567;0.589142;0.190277;4,45168E+14;0.0883041981881809;-31.6973992381221;-316.973992381221;;
